plot_id;PM_BER_PC;bbch_stage;observation_date
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;50;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;2;BBCH 89;28/08/2024
10A;100;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;80;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;2;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;2;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;30;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10A;30;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;40;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;20;BBCH 89;28/08/2024
10A;0;BBCH 89;28/08/2024
10A;5;BBCH 89;28/08/2024
10A;10;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;30;BBCH 89;28/08/2024
10B;40;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;100;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;40;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;2;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;10;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;5;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;30;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;0;BBCH 89;28/08/2024
10B;20;BBCH 89;28/08/2024
10B;50;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;5;BBCH 89;28/08/2024
10C;20;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;5;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;20;BBCH 89;28/08/2024
10C;30;BBCH 89;28/08/2024
10C;30;BBCH 89;28/08/2024
10C;30;BBCH 89;28/08/2024
10C;20;BBCH 89;28/08/2024
10C;50;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;20;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;5;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;30;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;40;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;20;BBCH 89;28/08/2024
10C;50;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;30;BBCH 89;28/08/2024
10C;10;BBCH 89;28/08/2024
10C;50;BBCH 89;28/08/2024
10C;30;BBCH 89;28/08/2024
10C;50;BBCH 89;28/08/2024
10C;20;BBCH 89;28/08/2024
10C;50;BBCH 89;28/08/2024
10C;5;BBCH 89;28/08/2024
10C;5;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;2;BBCH 89;28/08/2024
10C;0;BBCH 89;28/08/2024
10C;5;BBCH 89;28/08/2024
10D;20;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;30;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;40;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;5;BBCH 89;28/08/2024
10D;10;BBCH 89;28/08/2024
10D;5;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;50;BBCH 89;28/08/2024
10D;5;BBCH 89;28/08/2024
10D;30;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;20;BBCH 89;28/08/2024
10D;20;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;10;BBCH 89;28/08/2024
10D;10;BBCH 89;28/08/2024
10D;20;BBCH 89;28/08/2024
10D;100;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;20;BBCH 89;28/08/2024
10D;5;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;10;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;10;BBCH 89;28/08/2024
10D;50;BBCH 89;28/08/2024
10D;20;BBCH 89;28/08/2024
10D;30;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;50;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;30;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;10;BBCH 89;28/08/2024
10D;30;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;5;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
10D;0;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;2;BBCH 89;28/08/2024
1A;2;BBCH 89;28/08/2024
1A;2;BBCH 89;28/08/2024
1A;10;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;15;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;80;BBCH 89;28/08/2024
1A;10;BBCH 89;28/08/2024
1A;60;BBCH 89;28/08/2024
1A;30;BBCH 89;28/08/2024
1A;50;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;80;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;2;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;2;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;10;BBCH 89;28/08/2024
1A;2;BBCH 89;28/08/2024
1A;80;BBCH 89;28/08/2024
1A;10;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;20;BBCH 89;28/08/2024
1A;40;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;5;BBCH 89;28/08/2024
1A;30;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1A;30;BBCH 89;28/08/2024
1A;0;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;70;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;40;BBCH 89;28/08/2024
1B;50;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;80;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;2;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;90;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;40;BBCH 89;28/08/2024
1B;50;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;100;BBCH 89;28/08/2024
1B;80;BBCH 89;28/08/2024
1B;30;BBCH 89;28/08/2024
1B;30;BBCH 89;28/08/2024
1B;50;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;50;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;5;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;10;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;0;BBCH 89;28/08/2024
1B;20;BBCH 89;28/08/2024
1B;30;BBCH 89;28/08/2024
1C;30;BBCH 89;28/08/2024
1C;10;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;10;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;5;BBCH 89;28/08/2024
1C;40;BBCH 89;28/08/2024
1C;30;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;5;BBCH 89;28/08/2024
1C;10;BBCH 89;28/08/2024
1C;30;BBCH 89;28/08/2024
1C;60;BBCH 89;28/08/2024
1C;5;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;80;BBCH 89;28/08/2024
1C;50;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;30;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;30;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;100;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;0;BBCH 89;28/08/2024
1C;20;BBCH 89;28/08/2024
1C;10;BBCH 89;28/08/2024
1C;5;BBCH 89;28/08/2024
1C;10;BBCH 89;28/08/2024
1C;5;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;100;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;50;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;30;BBCH 89;28/08/2024
1D;80;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;40;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;50;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;50;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;80;BBCH 89;28/08/2024
1D;0;BBCH 89;28/08/2024
1D;5;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;20;BBCH 89;28/08/2024
1D;10;BBCH 89;28/08/2024
1D;30;BBCH 89;28/08/2024
2A;5;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;30;BBCH 89;28/08/2024
2A;30;BBCH 89;28/08/2024
2A;30;BBCH 89;28/08/2024
2A;60;BBCH 89;28/08/2024
2A;20;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;90;BBCH 89;28/08/2024
2A;90;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;70;BBCH 89;28/08/2024
2A;70;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;30;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;30;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;60;BBCH 89;28/08/2024
2A;70;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;90;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;90;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;40;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;40;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;50;BBCH 89;28/08/2024
2A;80;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;40;BBCH 89;28/08/2024
2A;100;BBCH 89;28/08/2024
2A;90;BBCH 89;28/08/2024
2A;20;BBCH 89;28/08/2024
2B;10;BBCH 89;28/08/2024
2B;50;BBCH 89;28/08/2024
2B;10;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;40;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;50;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;80;BBCH 89;28/08/2024
2B;2;BBCH 89;28/08/2024
2B;50;BBCH 89;28/08/2024
2B;100;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;10;BBCH 89;28/08/2024
2B;10;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;80;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;30;BBCH 89;28/08/2024
2B;60;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;40;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;5;BBCH 89;28/08/2024
2B;20;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2B;0;BBCH 89;28/08/2024
2C;20;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;50;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;40;BBCH 89;28/08/2024
2C;40;BBCH 89;28/08/2024
2C;30;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;20;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;20;BBCH 89;28/08/2024
2C;60;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;30;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
2C;20;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;10;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;20;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;0;BBCH 89;28/08/2024
2C;5;BBCH 89;28/08/2024
